ID,Title,Source,Format,isPartOf,Type,isFormatOf ,isRequiredBy 
18,GMT20210913-140034_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
19,GMT20210915-142558_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
20,GMT20210913-140034_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210913-140034_R-s1-full.mp4,
21,GMT20210917-153513_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
22,GMT20210917-154304_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210917-154304_R-s1-full.mp4,
23,GMT20210915-140535_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
24,GMT20210915-140535_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210915-140535_R-s1-full.mp4,
25,GMT20210920-140521_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210920-140521_R-s1-full.mp4,
26,GMT20210920-153831_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210920-153831_R-s1-full.mp4,
27,GMT20210917-160614_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210917-160614_R-s1-full.mp4,
28,GMT20210917-154304_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
29,GMT20210915-135921_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210915-135921_R-s1-full.mp4,
30,GMT20210913-153454_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210913-153454_R-s1-full.mp4,
31,GMT20210917-153513_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210917-153513_R-s1-full.mp4,
32,GMT20210913-144451_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210913-144451_R-s1-full.mp4,
33,GMT20210913-140034_R-s1-full(1).mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
34,Jair K - 2022-03-22_15-47-56.mp4,EECS3461,.mp4,Module_00_Intro_(half_week),iER,,
35,GMT20210908-140015_R-s1-full.mp4,EECS3461,.mp4,Module_00_Intro_(half_week),iER,,
36,GMT20210910-151437_R-transcript.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
37,GMT20210908-140015_R-transcript.txt,EECS3461,.txt,Module_00_Intro_(half_week),iER,,
38,GMT20210910-151437_R-s1-full.mp4,EECS3461,.mp4,Module_00_Intro_(half_week),iER,GMT20210908-140015_R-s1-full.mp4,
39,3461f21_Mod04_breakout.csv,EECS3461,.csv,Module_04_Prototyping_I,mER,,
40,3461f21_Mod03_breakout_fixed.csv,EECS3461,.csv,Module_03_Ideation-Generating_Alternatives_I,mER,,
41,3461f21_CM02_breakout.csv,EECS3461,.csv,Module_02_Research_I,mER,,
42,3461f21_Mod02_breakout.csv,EECS3461,.csv,Module_02_Research_I,mER,,
43,3461f21_Mod02_breakout_fixed.csv,EECS3461,.csv,Module_02_Research_I,mER,,
44,3461f21_Mod06_breakout.csv,EECS3461,.csv,Module_06_Research_II,mER,,
45,~$sourcePacks-Master-Technosocial.docx,EECS3461,.docx,ResourcePacks,iER,,
46,~$sourcePacks-Master-Humans-Users.docx,EECS3461,.docx,ResourcePacks,iER,,
47,~$sourcePacks-Master-Interaction.docx,EECS3461,.docx,ResourcePacks,iER,,
48,~$sourcePacks-MasterPlan-Modules.docx,EECS3461,.docx,ResourcePacks,iER,,
49,~$sourcePacks-Master-Knowledge Practices.docx,EECS3461,.docx,ResourcePacks,iER,,
50,~$sourcePacks-Master-Design.docx,EECS3461,.docx,ResourcePacks,iER,,
51,eecs3461_AY2021-22_f21_CourseSyllabus-v1.docx,EECS3461,.docx,Course Syllabus,iER,,
52,~$cs3461_AY2020-21_w21_CourseSyllabus-v2.docx,EECS3461,.docx,Course Syllabus,iER,,
53,Course Syllabus.docx,EECS3461,.docx,Course Syllabus,iER,,
54,3461f21_Module01_CM04.md,EECS3461,.md,Module_04_Prototyping_I,mER,,
